trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,4,-4.375974590390895,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,14,-135.57708346854668,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-78.00722981483068,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-91.40494360939873,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,18,-56.21939916249465,"{0: 7, 1: 0, 2: 3, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-95.97924735912378,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,13,-52.16111108783958,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-143.86811666020307,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,13,-31.32062561962925,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,0.30766396496400583,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,-90.69068044521525,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,4.8191261684628035,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,9,8.57034823755609,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,18.998148810616353,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,17,-2.538702752485766,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,2,14.599783726191973,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,17.421956960145415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-15.84610989063923,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,10.47349451934345,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,6.125215664814787,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,7,26.259204652079916,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,13,11.529355355092635,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,1,24.57605330784966,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,9,7.568132755323618,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,2,24.020865524639984,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,12.84396604203221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,11,23.00994259192584,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,2,-15.448838673911482,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,17.598352848715386,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,11,26.892564651492954,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
