trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999922893814706}",30,0,-106.25410984554571,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999691576447897}",25,0,-100.49313808921623,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999306051466773}",25,0,-102.37042525724861,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9998766324816606}",30,0,-189.97797664586622,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9998072404820648}",25,0,-113.14153710282858,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9997224302180006}",25,0,-100.45292131550711,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9996222029973468}",20,0,-96.06935017128548,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9995065603657316}",25,0,-177.2942126288204,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.999375504106507}",25,0,-133.76550838704728,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9992290362407229}",25,12,-44.29825974664523,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.999067159027095}",30,0,-155.09342174210065,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.99888987496197}",20,0,-208.28894013464912,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9986971867792875}",20,0,-112.62388050029224,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9984890974505379}",25,0,-216.9493075933754,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9982656101847159}",20,0,-90.20166204592067,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9980267284282716}",20,0,-61.01348266353408,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9977724558650571}",25,15,-16.396512483291694,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.99750279641627}",25,0,-88.649918064052,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9972177542403927}",35,0,-110.14784777761453,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.996917333733128}",30,0,-107.36898048650035,"{0: 15, 1: 7, 2: 7, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9966015395273318}",25,0,-88.10268990500309,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9962703764929413}",25,0,-114.92433428277117,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9959238497369003}",30,0,-118.79023819356414,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.99556196460308}",30,0,-231.02951708305685,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9951847266721969}",25,0,-46.116069878350324,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9947921417617265}",25,0,-63.020259069669606,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9943842159258137}",25,9,-105.66570042975523,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.9939609554551797}",20,0,-119.78484737564688,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9935223668770244}",25,0,-141.64600727965322,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9930684569549263}",20,0,-53.09090769557451,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9925992326887378}",20,14,-8.471315828896822,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9921147013144779}",25,0,-96.31477501651796,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9916148703042192}",25,0,-142.91921588029746,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9910997473659748}",20,3,-118.33936395810808,"{0: 9, 1: 2, 2: 2, 3: 3, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.9905693404435773}",20,0,-134.74844438133863,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9900236577165575}",25,0,-119.85672930811363,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9894627076000184}",25,0,-154.21580664978185,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9888864987445046}",20,0,-138.7710149117212,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9882950400358693}",30,0,-118.93800506515349,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9876883405951378}",25,0,-71.82293326884867,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9870664097783656}",25,0,-140.24461838046622,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9864292571764954}",20,0,-119.94108641898461,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9857768926152087}",20,0,-114.83474137345118,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9851093261547739}",20,0,-145.74428449615704,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9844265680898916}",35,0,-149.08895061647493,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9837286289495359}",20,0,-171.56959808931228,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9830155194967916}",25,0,-213.066999705575,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.9822872507286887}",25,0,-107.33850059487138,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9815438338760325}",30,0,-151.7455474832371,"{0: 14, 1: 7, 2: 5, 3: 4, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9807852804032304}",20,0,-68.22945798646475,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9800116020081155}",35,0,-152.20396034529014,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9792228106217657}",30,12,-105.82150768861865,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.9784189184083201}",35,3,-187.17634526138116,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 3}",1
54,False,"{'a': 0.5, 'e': 0.9775999377647907}",25,6,-170.49955565202285,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 3}",1
55,False,"{'a': 0.5, 'e': 0.9767658813208724}",25,0,-62.27001647853216,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9759167619387474}",35,0,-160.99016662274772,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9750525927128869}",25,0,-144.30233823315848,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9741733869698493}",25,0,-100.69194547640757,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.973279158268075}",25,0,-219.32308405871632,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.9723699203976766}",20,0,-127.8225039635081,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.971445687380227}",20,0,-88.40385858409839,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9705064734685425}",30,0,-70.88758385557722,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9695522931464635}",20,0,-111.29690101095063,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9685831611286311}",25,0,-202.6443657099188,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9675990923602598}",30,0,-271.0339988870579,"{0: 12, 1: 6, 2: 7, 3: 1, 4: 4}",0
66,False,"{'a': 0.5, 'e': 0.9666001020169073}",25,0,-105.90831939511243,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.9655862055042406}",20,0,-168.14814197759245,"{0: 7, 1: 3, 2: 6, 3: 3, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9645574184577981}",30,10,-66.58306776214035,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.9635137567427488}",20,0,-61.29477404376159,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9624552364536473}",30,23,9.537207391408332,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.961381873914186}",20,0,-88.14632525629607,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9602936856769431}",20,0,-69.40027863962405,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9591906885231273}",25,3,-142.81191402721532,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.9580728994623191}",20,10,-18.093791911444438,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.9569403357322088}",20,0,-113.04768221832927,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9557930147983301}",30,0,-154.74089273374202,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9546309543537911}",20,0,-149.81619301955436,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9534541723190012}",20,12,-77.43902843566612,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.9522626868413954}",20,0,-85.8722874779397,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.9510565162951535}",25,0,-101.59266542126171,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9498356792809176}",20,0,-119.22985190668236,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9486001946255046}",30,0,-130.83743414928708,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9473500813816162}",25,0,-125.2042245047362,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9460853588275453}",20,0,-92.07007718564086,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.944806046466878}",20,0,-111.65599313983455,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9435121640281936}",20,0,-118.25950550701491,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9422037314647599}",20,7,-146.5232462421068,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 3}",1
88,False,"{'a': 0.5, 'e': 0.9408807689542255}",20,0,-54.37910459094454,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9395432968983091}",20,0,-203.96149514872278,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.9381913359224842}",20,0,-101.02190890818903,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9368249068756616}",25,10,-75.7147025066047,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.9354440308298674}",25,0,-82.77340582607015,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9340487290799185}",20,0,-67.42793619851624,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
